2025-05-27 09:02:25,937 - INFO - Screenshot captured
2025-05-27 09:02:48,584 - INFO - Screenshot captured
2025-05-27 09:02:52,668 - DEBUG - Mouse down at: (1573, 997)
2025-05-27 09:02:52,824 - DEBUG - Dragging to: (1572, 997)
2025-05-27 09:02:52,828 - DEBUG - Dragging to: (1571, 997)
2025-05-27 09:02:52,869 - DEBUG - Dragging to: (1570, 997)
2025-05-27 09:02:52,944 - DEBUG - Dragging to: (1569, 997)
2025-05-27 09:02:52,945 - DEBUG - Dragging to: (1569, 998)
2025-05-27 09:02:52,974 - DEBUG - Dragging to: (1568, 998)
2025-05-27 09:02:52,995 - DEBUG - Dragging to: (1567, 998)
2025-05-27 09:02:53,012 - DEBUG - Dragging to: (1567, 999)
2025-05-27 09:02:53,021 - DEBUG - Dragging to: (1566, 999)
2025-05-27 09:02:53,033 - DEBUG - Dragging to: (1565, 999)
2025-05-27 09:02:53,046 - DEBUG - Dragging to: (1564, 999)
2025-05-27 09:02:53,053 - DEBUG - Dragging to: (1563, 999)
2025-05-27 09:02:53,065 - DEBUG - Dragging to: (1562, 999)
2025-05-27 09:02:53,066 - DEBUG - Dragging to: (1562, 1000)
2025-05-27 09:02:53,075 - DEBUG - Dragging to: (1561, 1000)
2025-05-27 09:02:53,085 - DEBUG - Dragging to: (1561, 1001)
2025-05-27 09:02:53,093 - DEBUG - Dragging to: (1560, 1001)
2025-05-27 09:02:53,100 - DEBUG - Dragging to: (1559, 1002)
2025-05-27 09:02:53,103 - DEBUG - Dragging to: (1558, 1002)
2025-05-27 09:02:53,112 - DEBUG - Dragging to: (1558, 1003)
2025-05-27 09:02:53,136 - DEBUG - Dragging to: (1558, 1004)
2025-05-27 09:02:53,143 - DEBUG - Dragging to: (1557, 1004)
2025-05-27 09:02:53,153 - DEBUG - Dragging to: (1557, 1005)
2025-05-27 09:02:53,160 - DEBUG - Dragging to: (1556, 1005)
2025-05-27 09:02:53,170 - DEBUG - Dragging to: (1556, 1006)
2025-05-27 09:02:53,173 - DEBUG - Dragging to: (1555, 1007)
2025-05-27 09:02:53,178 - DEBUG - Dragging to: (1554, 1007)
2025-05-27 09:02:53,186 - DEBUG - Dragging to: (1554, 1008)
2025-05-27 09:02:53,194 - DEBUG - Dragging to: (1553, 1008)
2025-05-27 09:02:53,195 - DEBUG - Dragging to: (1553, 1009)
2025-05-27 09:02:53,207 - DEBUG - Dragging to: (1553, 1010)
2025-05-27 09:02:53,221 - DEBUG - Dragging to: (1553, 1011)
2025-05-27 09:02:53,338 - DEBUG - Dragging to: (1553, 1012)
2025-05-27 09:02:53,380 - DEBUG - Dragging to: (1553, 1013)
2025-05-27 09:02:53,416 - DEBUG - Dragging to: (1553, 1014)
2025-05-27 09:02:53,424 - DEBUG - Dragging to: (1554, 1015)
2025-05-27 09:02:53,433 - DEBUG - Dragging to: (1554, 1016)
2025-05-27 09:02:53,440 - DEBUG - Dragging to: (1555, 1016)
2025-05-27 09:02:53,455 - DEBUG - Dragging to: (1555, 1017)
2025-05-27 09:02:53,486 - DEBUG - Dragging to: (1555, 1018)
2025-05-27 09:02:53,492 - DEBUG - Dragging to: (1555, 1019)
2025-05-27 09:02:53,516 - DEBUG - Dragging to: (1555, 1020)
2025-05-27 09:02:53,537 - DEBUG - Dragging to: (1555, 1021)
2025-05-27 09:02:53,705 - DEBUG - Dragging to: (1555, 1022)
2025-05-27 09:02:53,759 - DEBUG - Dragging to: (1554, 1022)
2025-05-27 09:02:53,772 - DEBUG - Dragging to: (1553, 1022)
2025-05-27 09:02:53,786 - DEBUG - Dragging to: (1552, 1022)
2025-05-27 09:02:53,855 - DEBUG - Dragging to: (1551, 1022)
2025-05-27 09:02:53,881 - DEBUG - Dragging to: (1550, 1022)
2025-05-27 09:02:54,132 - DEBUG - Dragging to: (1549, 1022)
2025-05-27 09:02:54,192 - DEBUG - Dragging to: (1549, 1023)
2025-05-27 09:02:54,351 - DEBUG - Dragging to: (1548, 1023)
2025-05-27 09:02:54,352 - DEBUG - Dragging to: (1548, 1024)
2025-05-27 09:02:54,379 - DEBUG - Dragging to: (1548, 1025)
2025-05-27 09:02:54,387 - DEBUG - Dragging to: (1547, 1025)
2025-05-27 09:02:54,392 - DEBUG - Dragging to: (1547, 1026)
2025-05-27 09:02:54,616 - DEBUG - Dragging to: (1546, 1026)
2025-05-27 09:02:55,401 - DEBUG - Dragging to: (1546, 1027)
2025-05-27 09:02:55,430 - DEBUG - Dragging to: (1547, 1027)
2025-05-27 09:02:56,251 - INFO - Selected region: left=1547, top=997, width=26, height=30
2025-05-27 09:02:57,533 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:03:17,432 - INFO - Screenshot captured
2025-05-27 09:03:20,687 - DEBUG - Mouse down at: (1572, 995)
2025-05-27 09:03:20,803 - DEBUG - Dragging to: (1571, 995)
2025-05-27 09:03:20,831 - DEBUG - Dragging to: (1570, 995)
2025-05-27 09:03:20,832 - DEBUG - Dragging to: (1570, 996)
2025-05-27 09:03:21,070 - INFO - Selected region: left=1570, top=995, width=2, height=1
2025-05-27 09:03:22,216 - DEBUG - Mouse down at: (1574, 1025)
2025-05-27 09:03:22,296 - DEBUG - Dragging to: (1574, 1024)
2025-05-27 09:03:22,305 - DEBUG - Dragging to: (1574, 1023)
2025-05-27 09:03:22,307 - DEBUG - Dragging to: (1574, 1022)
2025-05-27 09:03:22,308 - DEBUG - Dragging to: (1573, 1022)
2025-05-27 09:03:22,314 - DEBUG - Dragging to: (1573, 1021)
2025-05-27 09:03:22,316 - DEBUG - Dragging to: (1572, 1021)
2025-05-27 09:03:22,320 - DEBUG - Dragging to: (1572, 1020)
2025-05-27 09:03:22,326 - DEBUG - Dragging to: (1571, 1019)
2025-05-27 09:03:22,329 - DEBUG - Dragging to: (1571, 1018)
2025-05-27 09:03:22,336 - DEBUG - Dragging to: (1571, 1017)
2025-05-27 09:03:22,342 - DEBUG - Dragging to: (1570, 1017)
2025-05-27 09:03:22,344 - DEBUG - Dragging to: (1570, 1016)
2025-05-27 09:03:22,349 - DEBUG - Dragging to: (1570, 1015)
2025-05-27 09:03:22,352 - DEBUG - Dragging to: (1570, 1014)
2025-05-27 09:03:22,359 - DEBUG - Dragging to: (1570, 1013)
2025-05-27 09:03:22,365 - DEBUG - Dragging to: (1570, 1012)
2025-05-27 09:03:22,378 - DEBUG - Dragging to: (1570, 1011)
2025-05-27 09:03:22,383 - DEBUG - Dragging to: (1569, 1010)
2025-05-27 09:03:22,396 - DEBUG - Dragging to: (1569, 1009)
2025-05-27 09:03:22,409 - DEBUG - Dragging to: (1568, 1009)
2025-05-27 09:03:22,414 - DEBUG - Dragging to: (1568, 1008)
2025-05-27 09:03:22,435 - DEBUG - Dragging to: (1568, 1007)
2025-05-27 09:03:22,445 - DEBUG - Dragging to: (1568, 1006)
2025-05-27 09:03:22,459 - DEBUG - Dragging to: (1568, 1005)
2025-05-27 09:03:22,475 - DEBUG - Dragging to: (1567, 1005)
2025-05-27 09:03:22,488 - DEBUG - Dragging to: (1567, 1004)
2025-05-27 09:03:22,497 - DEBUG - Dragging to: (1566, 1004)
2025-05-27 09:03:22,511 - DEBUG - Dragging to: (1566, 1003)
2025-05-27 09:03:22,547 - DEBUG - Dragging to: (1565, 1003)
2025-05-27 09:03:22,561 - DEBUG - Dragging to: (1564, 1002)
2025-05-27 09:03:22,569 - DEBUG - Dragging to: (1563, 1002)
2025-05-27 09:03:22,586 - DEBUG - Dragging to: (1563, 1001)
2025-05-27 09:03:22,589 - DEBUG - Dragging to: (1562, 1001)
2025-05-27 09:03:22,602 - DEBUG - Dragging to: (1561, 1001)
2025-05-27 09:03:22,616 - DEBUG - Dragging to: (1560, 1001)
2025-05-27 09:03:22,700 - DEBUG - Dragging to: (1559, 1001)
2025-05-27 09:03:22,710 - DEBUG - Dragging to: (1559, 1000)
2025-05-27 09:03:22,713 - DEBUG - Dragging to: (1558, 1000)
2025-05-27 09:03:22,724 - DEBUG - Dragging to: (1557, 1000)
2025-05-27 09:03:22,831 - DEBUG - Dragging to: (1556, 1000)
2025-05-27 09:03:22,903 - DEBUG - Dragging to: (1555, 1000)
2025-05-27 09:03:22,929 - DEBUG - Dragging to: (1554, 1000)
2025-05-27 09:03:22,983 - DEBUG - Dragging to: (1553, 1000)
2025-05-27 09:03:22,997 - DEBUG - Dragging to: (1552, 1000)
2025-05-27 09:03:23,044 - DEBUG - Dragging to: (1551, 1000)
2025-05-27 09:03:23,062 - DEBUG - Dragging to: (1550, 1000)
2025-05-27 09:03:23,084 - DEBUG - Dragging to: (1549, 1000)
2025-05-27 09:03:23,429 - DEBUG - Dragging to: (1548, 1000)
2025-05-27 09:03:23,439 - DEBUG - Dragging to: (1548, 999)
2025-05-27 09:03:23,446 - DEBUG - Dragging to: (1547, 999)
2025-05-27 09:03:23,487 - DEBUG - Dragging to: (1547, 998)
2025-05-27 09:03:23,494 - DEBUG - Dragging to: (1546, 998)
2025-05-27 09:03:23,503 - DEBUG - Dragging to: (1546, 997)
2025-05-27 09:03:23,909 - DEBUG - Dragging to: (1546, 998)
2025-05-27 09:03:24,408 - DEBUG - Dragging to: (1547, 998)
2025-05-27 09:03:24,435 - DEBUG - Dragging to: (1547, 999)
2025-05-27 09:03:24,806 - INFO - Selected region: left=1547, top=999, width=27, height=26
2025-05-27 09:03:27,864 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:03:56,143 - INFO - Screenshot captured
2025-05-27 09:04:01,816 - DEBUG - Mouse down at: (1573, 1026)
2025-05-27 09:04:01,901 - DEBUG - Dragging to: (1573, 1025)
2025-05-27 09:04:01,921 - DEBUG - Dragging to: (1573, 1024)
2025-05-27 09:04:01,925 - DEBUG - Dragging to: (1572, 1024)
2025-05-27 09:04:01,928 - DEBUG - Dragging to: (1572, 1023)
2025-05-27 09:04:01,934 - DEBUG - Dragging to: (1571, 1022)
2025-05-27 09:04:01,942 - DEBUG - Dragging to: (1571, 1021)
2025-05-27 09:04:01,954 - DEBUG - Dragging to: (1571, 1020)
2025-05-27 09:04:01,956 - DEBUG - Dragging to: (1570, 1020)
